"Total";"Ano_CS";"X";"Y";"tmean";"tmax";"tmin";"tseas";"pr";"prseas";"elev";"slope";"linear_infrastr";"forest";"water";"shrub";"bare";"for_shr_bare";"settle_med";"settle_low";"for_shr_grass";"for_shr_crop";"for_shr_agric";"mosaic_low";"settle_high";"crop_med";"grass_low";"crop_high";"grass_med";"grass_high";"mosaic_med";"ext_perm_crop";"crop_low";"int_perm_crop";"mosaic_high";"geometry"
20;2016;-6,94116028738664;37,2928764872245;0,325262957654975;0,646741359034413;0,317026113926385;0,173209960882546;0,406024302706348;1,24354207133961;-1,39714742994947;-0,518009872897418;0,838784545349604;0,332197771844213;0,0691464874320965;0,1648098701777;0,00653715127520486;0,00359082957370408;0,0191510910597551;0,0157444065923948;0,0225577755271154;0,0244912991437253;0,0609520301997974;0,00395911978639168;0,0116011416996593;0,0727373170058006;0,0304760150998987;0,00920725531718995;0;0;0;0,0607678850934536;0,0334223368013995;0,0586502163705;0;c(-6.94116028738664, 37.2928764872245)
4;2016;-6,76587364771462;37,3725714733158;0,302184935400596;0,598980422145323;0,30229395115701;0,263144344314302;0,465741666283855;1,24043067899039;-1,32731448352332;-0,467769620849013;0,841836123692099;0,358378536871426;0,0757220348922445;0,145653130039584;0,00652397009236182;0,00307872745931682;0,0217710013194546;0,0137076674974344;0,0207447588330157;0,0216243952499633;0,0469872452719543;0,00425157601524703;0,012974637149978;0,0747690954405512;0,0296877290719836;0,0163465767482774;0;0;0,000219909104236915;0,0585691247617651;0,0266090016126668;0,0623808825685383;0;c(-6.76587364771462, 37.3725714733158)
23;2016;-6,76642990923489;37,2943660222302;0,344950836713732;0,659015719009835;0,334844290025158;0,21622806347278;0,412534135733319;1,2585410718628;-1,4054068950882;-0,534954042719459;0,825081606553943;0,316651939914853;0,10330146999759;0,142019439312395;0,0080327737167644;0,004739336492891;0,0235360269901197;0,0134147321069965;0,0204032452405816;0,0228934050927785;0,0418507510643425;0,00457868101855571;0,0138163707928348;0,07807856052695;0,0298015904891959;0,0205639007149169;0;0;0,000240983211502932;0,0617720298819182;0,0291589685918548;0,0651457948429593;0;c(-6.76642990923489, 37.2943660222302)
8;2016;-6,85502959713367;37,3077486292214;0,32838093541023;0,643490889063219;0,320925354938041;0,203270389421338;0,420052093538924;1,24853335960807;-1,38777994631442;-0,50742204339466;0,827534287460304;0,333641637938283;0,0766837635583957;0,159421508450349;0,00765155974102413;0,00369965525939628;0,0199276885562936;0,014294122593122;0,0212730177415286;0,0236273438156899;0,0497771798536955;0,00462456907424535;0,0122761288152695;0,0758429328176238;0,0311948204826368;0,0158076179265114;0;0;8,40830740771883e-05;0,0570924072984108;0,0305221558900193;0,0625578071134281;0;c(-6.85502959713367, 37.3077486292214)
2;2016;-6,85566598707938;37,3083820139091;0,328282106669981;0,643399337517631;0,320906362684257;0,202902462624673;0,4196021602489;1,24835420447783;-1,38785867395398;-0,507008479062368;0,826436535292968;0,333753996298166;0,0768130573784284;0,159515396264513;0,00757193336698637;0,00361770149756015;0,0199394245330641;0,0143025408043076;0,0212855460205284;0,0236412586235908;0,0497223624432105;0,00462729261315834;0,0122833585731112;0,0758034662628302;0,0312131919905771;0,0157327948847383;0;0;8,41325929665152e-05;0,0571260306242638;0,030540131246845;0,0624263839811543;0;c(-6.85566598707938, 37.3083820139091)
14;2016;-6,83616727233848;37,3823865210342;0,286964390916452;0,583630261660717;0,290336351111652;0,251513965917996;0,472427391695224;1,23221299750527;-1,31299625396725;-0,446782039711083;0,830369150577926;0,37555841599152;0,0607253729083062;0,15151056258045;0,00530021958052548;0,00280154463542061;0,0193079427576285;0,0137805709093662;0,0212008783221019;0,0221094873930491;0,0558794578632543;0,00393730597410464;0,0114333308094192;0,0704172029984099;0,0293783599606269;0,0135534186416294;0;0;0;0,0545165442568335;0,0276368592413114;0,060952525176043;0;c(-6.83616727233848, 37.3823865210342)
6;2016;-6,82397983993461;37,3847853206483;0,287337338511672;0,58323900063653;0,290653846453285;0,255532705177219;0,474032416039702;1,23292710031442;-1,31156650560517;-0,448170674157458;0,835358815289763;0,374709193245779;0,0615384615384615;0,150243902439024;0,00525328330206379;0,00285178236397749;0,0195121951219512;0,0139587242026266;0,0211632270168856;0,0219887429643527;0,0547091932457786;0,00412757973733583;0,0115572232645403;0,0711444652908068;0,0299437148217636;0,0135084427767355;0;0;7,5046904315197e-05;0,0550093808630394;0,0272420262664165;0,0614634146341463;0;c(-6.82397983993461, 37.3847853206483)
10;2016;-6,67983254774884;37,3614605420003;0,326230651873454;0,617151934218539;0,326285877837663;0,287672838454708;0,456390502810087;1,24843067592806;-1,35140320764701;-0,49416013226447;0,874043296294201;0,337859309547884;0,0986566517405749;0,1315903510039;0,00765564061822909;0,00404448938321537;0,0277336414849054;0,0143723819153546;0,0179113101256681;0,0215224613606818;0,0385670951899466;0,00433338148201647;0,0181279791997689;0,0809620106890077;0,0260725119167991;0,0225335837064856;0;0;0,000216669074100823;0,0595117723530261;0,0264336270403004;0,0618951321681352;0;c(-6.67983254774884, 37.3614605420003)
36;2016;-6,67857518015421;37,3623280377042;0,326048525813933;0,616706292587024;0,326222600945191;0,28850143839912;0,456728697716253;1,2483029427778;-1,35080135739785;-0,493228200329389;0,87421677721695;0,338239538239538;0,0985569985569986;0,131529581529582;0,00764790764790765;0,00396825396825397;0,0277056277056277;0,0143578643578644;0,0178932178932179;0,0215007215007215;0,0384559884559885;0,00432900432900433;0,0181818181818182;0,080952380952381;0,026046176046176;0,0225108225108225;0;0;0,000216450216450216;0,0595238095238095;0,0264069264069264;0,061976911976912;0;c(-6.67857518015421, 37.3623280377042)
32;2016;-6,67810631303868;37,3599577090503;0,327439449549419;0,61836989638539;0,327425699646961;0,287641995268794;0,455278985802057;1,24861329028206;-1,35316099059543;-0,495290059956062;0,875013916053491;0,337063239965348;0,0996967946866878;0,13131677736067;0,00765232457406873;0,00404273751082876;0,0279382038694773;0,0143661565116951;0,0178313600924054;0,0215131388969102;0,0382616228703436;0,00433150447588796;0,0186254692463182;0,0810713254403696;0,0259890268553278;0,0225238232746174;0;0;0,000216575223794398;0,0594138030609298;0,0264221773029165;0,0617239387814034;0;c(-6.67810631303868, 37.3599577090503)
