"mtry";"ntree";"nodesize"
1;1000;10
1,5;1000;10
2;1000;10
2,5;1000;10
3;1000;10
3,5;1000;10
4;1000;10
4,5;1000;10
5;1000;10
5,5;1000;10
6;1000;10
6,5;1000;10
7;1000;10
7,5;1000;10
8;1000;10
8,5;1000;10
9;1000;10
9,5;1000;10
10;1000;10
10,5;1000;10
11;1000;10
11,5;1000;10
12;1000;10
12,5;1000;10
13;1000;10
13,5;1000;10
14;1000;10
14,5;1000;10
15;1000;10
15,5;1000;10
16;1000;10
16,5;1000;10
17;1000;10
17,5;1000;10
18;1000;10
18,5;1000;10
19;1000;10
19,5;1000;10
20;1000;10
1;2000;10
1,5;2000;10
2;2000;10
2,5;2000;10
3;2000;10
3,5;2000;10
4;2000;10
4,5;2000;10
5;2000;10
5,5;2000;10
6;2000;10
6,5;2000;10
7;2000;10
7,5;2000;10
8;2000;10
8,5;2000;10
9;2000;10
9,5;2000;10
10;2000;10
10,5;2000;10
11;2000;10
11,5;2000;10
12;2000;10
12,5;2000;10
13;2000;10
13,5;2000;10
14;2000;10
14,5;2000;10
15;2000;10
15,5;2000;10
16;2000;10
16,5;2000;10
17;2000;10
17,5;2000;10
18;2000;10
18,5;2000;10
19;2000;10
19,5;2000;10
20;2000;10
1;3000;10
1,5;3000;10
2;3000;10
2,5;3000;10
3;3000;10
3,5;3000;10
4;3000;10
4,5;3000;10
5;3000;10
5,5;3000;10
6;3000;10
6,5;3000;10
7;3000;10
7,5;3000;10
8;3000;10
8,5;3000;10
9;3000;10
9,5;3000;10
10;3000;10
10,5;3000;10
11;3000;10
11,5;3000;10
12;3000;10
12,5;3000;10
13;3000;10
13,5;3000;10
14;3000;10
14,5;3000;10
15;3000;10
15,5;3000;10
16;3000;10
16,5;3000;10
17;3000;10
17,5;3000;10
18;3000;10
18,5;3000;10
19;3000;10
19,5;3000;10
20;3000;10
1;4000;10
1,5;4000;10
2;4000;10
2,5;4000;10
3;4000;10
3,5;4000;10
4;4000;10
4,5;4000;10
5;4000;10
5,5;4000;10
6;4000;10
6,5;4000;10
7;4000;10
7,5;4000;10
8;4000;10
8,5;4000;10
9;4000;10
9,5;4000;10
10;4000;10
10,5;4000;10
11;4000;10
11,5;4000;10
12;4000;10
12,5;4000;10
13;4000;10
13,5;4000;10
14;4000;10
14,5;4000;10
15;4000;10
15,5;4000;10
16;4000;10
16,5;4000;10
17;4000;10
17,5;4000;10
18;4000;10
18,5;4000;10
19;4000;10
19,5;4000;10
20;4000;10
1;5000;10
1,5;5000;10
2;5000;10
2,5;5000;10
3;5000;10
3,5;5000;10
4;5000;10
4,5;5000;10
5;5000;10
5,5;5000;10
6;5000;10
6,5;5000;10
7;5000;10
7,5;5000;10
8;5000;10
8,5;5000;10
9;5000;10
9,5;5000;10
10;5000;10
10,5;5000;10
11;5000;10
11,5;5000;10
12;5000;10
12,5;5000;10
13;5000;10
13,5;5000;10
14;5000;10
14,5;5000;10
15;5000;10
15,5;5000;10
16;5000;10
16,5;5000;10
17;5000;10
17,5;5000;10
18;5000;10
18,5;5000;10
19;5000;10
19,5;5000;10
20;5000;10
1;6000;10
1,5;6000;10
2;6000;10
2,5;6000;10
3;6000;10
3,5;6000;10
4;6000;10
4,5;6000;10
5;6000;10
5,5;6000;10
6;6000;10
6,5;6000;10
7;6000;10
7,5;6000;10
8;6000;10
8,5;6000;10
9;6000;10
9,5;6000;10
10;6000;10
10,5;6000;10
11;6000;10
11,5;6000;10
12;6000;10
12,5;6000;10
13;6000;10
13,5;6000;10
14;6000;10
14,5;6000;10
15;6000;10
15,5;6000;10
16;6000;10
16,5;6000;10
17;6000;10
17,5;6000;10
18;6000;10
18,5;6000;10
19;6000;10
19,5;6000;10
20;6000;10
1;7000;10
1,5;7000;10
2;7000;10
2,5;7000;10
3;7000;10
3,5;7000;10
4;7000;10
4,5;7000;10
5;7000;10
5,5;7000;10
6;7000;10
6,5;7000;10
7;7000;10
7,5;7000;10
8;7000;10
8,5;7000;10
9;7000;10
9,5;7000;10
10;7000;10
10,5;7000;10
11;7000;10
11,5;7000;10
12;7000;10
12,5;7000;10
13;7000;10
13,5;7000;10
14;7000;10
14,5;7000;10
15;7000;10
15,5;7000;10
16;7000;10
16,5;7000;10
17;7000;10
17,5;7000;10
18;7000;10
18,5;7000;10
19;7000;10
19,5;7000;10
20;7000;10
1;8000;10
1,5;8000;10
2;8000;10
