"";"car::vif(model)"
"tseas_15";3,47631187316698
"pr_15";2,71757453128128
"prseas_15";1,47891300093225
"slope_15";7,20203479102786
"linear_infrastr_15";3,47559964843798
"forest_15";3,92288817504418
"water_15";1,6156748198575
"shrub_15";3,25027261376009
"bare_15";2,21710300855423
"for_shr_bare_15";2,67616283742207
"settle_med_15";2,77382972427229
"settle_low_15";1,86877301308857
"for_shr_grass_15";3,82543008152314
"for_shr_crop_15";1,80683210158362
"for_shr_agric_15";2,8154930025747
"mosaic_low_15";3,99753926436056
"grass_low_15";4,98632042206986
"crop_high_15";1,50951236225406
"grass_med_15";1,98965185145485
"grass_high_15";1,53452053973353
"mosaic_med_15";2,04443211898658
"ext_perm_crop_15";2,22152189812901
"crop_low_15";2,42151647840512
"int_perm_crop_15";2,6250083628931
"elev_60";5,45817159130176
"water_60";3,04364815109591
"shrub_60";3,65949664307566
"for_shr_bare_60";3,06696834233811
"settle_med_60";3,20569851531039
"settle_low_60";3,58539461171393
"for_shr_agric_60";7,2622458660702
"mosaic_low_60";4,17881124391343
"crop_high_60";2,40197491704262
"grass_med_60";3,98393058328444
"grass_high_60";2,35196075620861
"mosaic_med_60";5,243575560705
"ext_perm_crop_60";3,57728190138984
"crop_low_60";3,69545695683385
"mosaic_high_60";3,18254478809408
